State,Alzheimer's,Arthritis,AFib,Cancer,CKD,COPD,Diabetes,HF,Hyperlipidemia,Hypertension,IHD,Osteoporosis,Stroke
Indiana,3857752198.67,5570813533.389543,1998861110.0884902,1367262253.7304645,4124168403.2830195,2765772482.795018,3550605919.714014,4190749734.3351793,6564867870.634053,8058043708.203177,6080978389.179185,973645087.8386868,1011901361.8946142
Iowa,1306096001.46,2120958467.5004132,862358556.6050272,595151730.3109747,1521531239.429989,902036433.1701987,1281968530.7645905,1593317143.0901573,2565054516.4263535,3198111199.0414996,2254651596.1453576,402221418.3286493,344804613.5273464
Kansas,1536047430.18,2175328240.170133,828347117.9779004,559137799.5919318,1484835553.2208986,1007825165.9186013,1282138800.8569176,1610966862.9325457,2311765977.9562116,3180674116.5177736,2314287299.7211356,413254237.08184534,368124825.8450069
Kentucky,2935158760.79,4145912380.036483,1500330688.971757,928003200.8108577,3098687154.9241166,2408251865.409504,2710797548.744227,3313463833.2085247,4698372981.314806,5866967623.331744,4754898367.302682,646033390.4231213,739010849.4479294
Louisiana,3629660814.94,4417636092.20328,1410061606.5753121,936860961.504286,3364954618.509282,2028704968.6394737,3083553662.831296,3520976171.2175865,4937932527.036172,6490283976.558592,5085477605.459855,642319098.4875433,933909331.1758673
Maine,836314991.33,1207924665.0638082,498771727.5470879,328370785.42606413,897849447.2025404,601427607.0503336,720904897.4272249,906158430.9731182,1486350685.742517,1816522944.8488696,1345740906.8815236,232123692.50528595,198812803.75102165
Maryland,3705250407.51,5493999764.030677,2063748818.3443286,1490502703.0768082,4119980897.1528487,2382250069.034673,3701715815.4678392,3759774522.136053,7028028366.86308,8129594337.517892,6016494064.881154,829257284.8614398,1234074138.1657832
Massachusetts,5075574764.99,6219929361.344193,2807827827.882152,1865430947.6051798,4584194123.364585,2707536088.0238595,3431946141.869168,4713477264.818745,7794889069.456389,9291168863.384737,6871604951.567095,1342978226.662185,1281170041.7599664
Michigan,6724784282.11,9759347629.409101,3670513908.869692,2343326374.616379,6751495949.352042,4637372971.905137,5804038259.434777,7236460225.913627,11161562972.764902,13303407301.196566,10514907723.89776,1569047598.4451926,1717357481.2588055
Minnesota,2505747134.85,3630878209.1930084,1685005550.9555972,1081875772.0965412,3175534914.9095235,1593771208.0861506,2352723220.1541967,3239478654.485882,4649535425.977389,6034450421.774568,4351723183.406121,800453198.1318289,728730680.1018976
Mississippi,2150613072.77,2950246562.3676305,842912058.1948404,636584225.7304543,2061659436.6579304,1197515424.5582263,1915170623.0662386,2195056752.449761,2902828878.247552,4104821878.534069,3012041616.0745487,424461752.8992056,561100094.8536978
Missouri,3527148639.83,5240092455.817114,1848840719.521405,1277547705.8961606,3576736038.800091,2593255120.496817,3211450847.911675,3835586028.22999,5648945551.230564,7352111350.616783,5593444023.629456,843522473.32937,924185804.8415816
Montana,407683573.84,702564426.0211453,241962445.7968658,224436757.52832416,496377453.4827325,318157861.0516595,413737253.6846431,535982238.1279497,672405845.4267457,1007750699.0374355,724474151.1891514,140424966.58874494,96355686.63882521
Nebraska,808024071.54,1463681369.8422801,543165543.5526813,352477070.88022697,900142908.378092,622101172.9320437,775380580.0744892,1026884769.557109,1489743460.2845716,1955383958.449498,1452219591.244546,273167817.77008414,216784906.9724915
Nevada,1780603675.79,2282380874.635779,797264568.7032055,550075735.853371,1709022009.0810394,1363618329.6888218,1497457485.9644175,1841844674.295309,2403097963.151822,3318550460.0721083,2356560312.6008615,324672520.9119717,496477945.21979934
New Hampshire,779985555.8,1176190153.1532788,490059208.1605978,309558965.944992,782427105.7698965,489098923.2629427,655903382.2542078,795029768.0807233,1350525254.5525746,1677295588.0349646,1213255239.2809696,214921458.5044139,211789554.24803847
New Jersey,6553469556.09,8247779289.728168,3572574733.347181,2395799217.2093844,6491409413.98176,3740111199.2649317,5913463793.210647,6710872267.84004,10943004854.942192,12600943087.322865,10309089950.676754,1310241331.269501,2121292008.8393474
New Mexico,908288488.51,1371579208.3884609,389480216.7538721,304675400.98632854,995956992.5801406,594053978.5913506,956288343.5505975,1022386322.1952707,1480252502.4826872,2048796182.88998,1458119817.5440185,269499558.64937866,231137508.4188974
New York,14527342370.82,17259173884.275333,7877045157.792908,5312692054.743817,14453460031.272024,9124561798.225441,12357995447.081188,15102400441.747143,23918844419.77058,28188712681.911404,21294547117.538692,2942189518.532061,3781274258.8943233
North Carolina,5716677876.38,8077046109.866811,2773115341.075637,2050564093.2698164,6343494060.513534,3683650830.106516,5610490372.019898,6047397967.181053,9727455209.552513,12129271067.493214,8438211805.845877,1347246287.2609158,1546676023.2769337
North Dakota,230246912.37,465803459.80055505,155261654.8814146,134257530.91064617,350892118.59624773,208084580.70019263,280905535.2537093,359565736.4718884,549620459.365079,676272041.2248328,519598794.1028295,114679819.18228637,68795455.12750934
Ohio,7013702734.0,11024136520.639639,4093994391.8008285,2592529910.008159,8110506388.405355,5260255305.378892,6832776251.156482,8141715959.46086,12726886995.71346,15288511672.660606,12002248924.641985,1760759906.5553102,2015157725.7522914
Oklahoma,2409222161.98,3666965950.4605055,1083148249.2221923,745616775.0154296,2513628578.0168724,1819537641.3685174,2232216531.1089153,2873251340.8440933,3814637519.911312,5032458937.476029,4031623905.4649963,531264213.4301363,602794325.0971127
Oregon,1694351717.54,2764977690.9561577,1100909762.3496964,758962309.960776,2000959446.7334886,1150669168.6957943,1676906286.2510998,2085239677.375154,2936115486.6949296,4033342362.451053,2778908557.6138387,507957559.0788305,464067516.8402072
Pennsylvania,8528922438.14,12520661040.203472,4957079278.263863,3235332540.4368906,9407638141.880054,5477076966.736307,7828358879.798893,9447007724.06022,15349883559.74354,17912715223.684025,14002890816.079788,2326724382.2212014,2517025940.6930494
Rhode Island,639218213.04,1009505318.1599065,365047651.16627383,287841798.7803568,669733299.2339915,388005854.9787141,530542630.1269599,649757332.0824715,1238678630.7554843,1411961940.496283,1054738975.6985077,172495804.9985471,186658640.1369009
South Carolina,3001111788.59,4120256061.4305224,1402178569.1149461,1059399267.770598,3269068246.27627,1764640705.063097,2964820965.8631115,3104708178.1893287,5230061552.6619625,6502485792.744078,4312079769.564269,658735061.0350298,834226014.398744
South Dakota,322744418.87,599154741.614544,213767309.25552776,172329837.76180065,459587843.59423554,278728723.7520358,397841797.294629,458063567.2628086,696393622.8893809,914813205.6437771,649285347.242809,109646192.68447444,81161357.86814179
